WSI,NAME,LNG,LAT
0-20000-0-04030,Reykjavik,-21.903905,64.127653
0-20000-0-11406,Cheb,12.391389,50.068333
0-20000-0-11414,"Karlovy Vary, Olšová Vrata",12.914167,50.201667
0-20000-0-11423,Přimda,12.678056,49.669444
0-20000-0-11433,Kopisty,13.62278,50.54417
0-20000-0-11438,Tušimice,13.32806,50.37667
0-20000-0-11450,"Plzeň, Mikulka",13.378889,49.764722
0-20000-0-11457,Churáňov,13.615278,49.068333
0-20000-0-11464,Milešovka,13.93083,50.555
0-20000-0-11487,Kocelovice,13.838611,49.467222
0-20000-0-11502,"Ústí nad Labem, Kočkov",14.04111,50.68333
0-20000-0-11509,Doksany,14.17,50.45889
0-20000-0-11518,"Praha, Ruzyně",14.255556,50.100278
0-20000-0-11519,"Praha, Karlov",14.427778,50.069167
0-20000-0-11520,"Praha, Libuš",14.446944,50.007778
0-20000-0-11538,Temelín,14.342222,49.197778
0-20000-0-11546,"České Budějovice,Rožnov",14.469722,48.951944
0-20000-0-11567,"Praha, Kbely",14.538056,50.123333
0-20000-0-11603,Liberec,15.02389,50.76972
0-20000-0-11609,Jičín,15.352626,50.439511
0-20000-0-11624,"Chotusice, letiště",15.386389,49.940833
0-20000-0-11628,"Košetice, Křešín, Kramolín",15.08046,49.573504
0-20000-0-11636,Kostelní Myslová,15.439167,49.159167
0-20000-0-11643,Pec pod Sněžkou,15.728889,50.691944
0-20000-0-11652,"Pardubice, letiště",15.740273,50.016111
0-20000-0-11653,"Sněžka, Poštovna",15.740278,50.735833
0-20000-0-11659,"Přibyslav, Hřiště",15.763055,49.582785
0-20000-0-11669,"Polom, Sedloňov",16.322222,50.350278
0-20000-0-11679,Ústí nad Orlicí,16.422222,49.980278
0-20000-0-11683,Svratouch,16.034167,49.735
0-20000-0-11692,Sedlec,16.120556,49.170833
0-20000-0-11693,Dukovany,16.134444,49.095556
0-20000-0-11698,Kuchařovice,16.085278,48.881111
0-20000-0-11710,Luká,16.953333,49.652222
0-20000-0-11723,"Brno, Tuřany",16.688889,49.153056
0-20000-0-11730,Šerák,17.108333,50.1875
0-20000-0-11747,Prostějov,17.134722,49.4525
0-20000-0-11766,Červená,17.541944,49.777222
0-20000-0-11774,Holešov,17.57,49.320556
0-20000-0-11782,Mošnov,18.112778,49.691944
0-20000-0-11787,Lysá hora,18.4475,49.546111
0-20000-0-11791,"Hošťálková, Maruška",17.8286,49.3653
0-20000-0-89055,"Marambio, Base",56.623056,64.233056
0-203-0-10101014001,Strážné,15.6136806,50.6634733
0-203-0-10101019001,"Dolní Dvůr, Rudolfov",15.655815,50.654592
0-203-0-10101025001,Hostinné,15.7201375,50.5400231
0-203-0-10101026001,Černý Důl,15.712563,50.648678
0-203-0-10101067001,Bílá Třemešná,15.766135,50.457596
0-203-0-10102006101,"Pomezní boudy, Horní Malá Úpa",15.82027,50.745472
0-203-0-10102013001,Horní Maršov,15.818973,50.654577
0-203-0-10102027001,Žacléř,15.907098,50.661205
0-203-0-10103004001,Teplice nad Metují Zdoňov,16.147362,50.641075
0-203-0-10103018001,Police nad Metují,16.237511,50.537805
0-203-0-10103041001,Náchod,16.157201,50.395208
0-203-0-10103042001,"Olešnice, Čihalka",16.352829,50.374902
0-203-0-10103042002,"Olešnice, Vodárna",16.328611,50.365556
0-203-0-10103056001,"Česká Skalice, Rozkoš",16.061111,50.363056
0-203-0-10104024001,Hořiněves,15.76283,50.31285
0-203-0-10201001001,Orlické Záhoří - vodárna,16.478884,50.271475
0-203-0-10201001003,Orlické Záhoří,16.468455,50.280707
0-203-0-10201037001,"Luisino údolí, Deštné v Orlických horách",16.38829,50.287003
0-203-0-10201039001,Zdobnice,16.408505,50.247678
0-203-0-10201047001,Slatina nad Zdobnicí,16.3875,50.1375
0-203-0-10202005001,Králíky,16.73475,50.08289
0-203-0-10202014001,Orličky,16.667424,50.026453
0-203-0-10202065001,Choceň,16.200903,50.009544
0-203-0-10202083001,Borohrádek,16.086691,50.105254
0-203-0-10203029301,"Bílý Újezd, Hroška",16.209938,50.234904
0-203-0-10203034001,České Meziříčí,16.041312,50.282295
0-203-0-10203066201,Běleč nad Orlicí,15.94687,50.186901
0-203-0-10302022001,Lubná,16.190554,49.773006
0-203-0-10302040001,Hrušová,16.19522,49.916667
0-203-0-10302050001,Vysoké Mýto,16.167796,49.962009
0-203-0-10303009001,Hamry,15.914045,49.738323
0-203-0-10303020001,"Vysočina, Jančouř",15.822131,49.755424
0-203-0-10303027001,Křižanovice,15.774205,49.865999
0-203-0-10303045001,Nové Hrady,16.1475,49.850201
0-203-0-10303061001,Skuteč,15.996141,49.834881
0-203-0-10303098001,Hrochův Týnec,15.909774,49.962057
0-203-0-10304023001,Heřmanův Městec,15.673986,49.946639
